COMPANY_NAME;CLIENT_ID;RATE
Социальная организация №6;1;1,25
Социальная организация №2;2;1,25
Социальная организация №5;3;1,3
Социальная организация №1;4;1,2
Социальная организация №5;5;1,3
Социальная организация №1;6;1,2
Социальная организация №3;7;1,3
Социальная организация №4;8;1,3
Социальная организация №4;9;1,3
Социальная организация №1;10;1,2
Социальная организация №4;11;1,3
Социальная организация №2;12;1,25
Социальная организация №6;13;1,25
Социальная организация №1;14;1,2
Социальная организация №3;15;1,3
Социальная организация №2;16;1,25
Социальная организация №5;17;1,3
Социальная организация №3;18;1,3
Социальная организация №5;19;1,3
Социальная организация №1;20;1,2
Социальная организация №3;21;1,3
Социальная организация №2;22;1,25
Социальная организация №4;23;1,3
Социальная организация №1;24;1,2
Социальная организация №4;25;1,3
Социальная организация №1;26;1,2
Социальная организация №3;27;1,3
Социальная организация №1;28;1,2
Социальная организация №3;29;1,3
Социальная организация №5;30;1,3
Социальная организация №1;31;1,2
Социальная организация №5;32;1,3
Социальная организация №5;33;1,3
Социальная организация №3;34;1,3
Социальная организация №4;35;1,3
Социальная организация №6;36;1,25
Социальная организация №6;37;1,25
Социальная организация №3;38;1,3
Социальная организация №5;39;1,3
Социальная организация №5;40;1,3
Социальная организация №3;41;1,3
Социальная организация №5;42;1,3
Социальная организация №2;43;1,25
Социальная организация №1;44;1,2
Социальная организация №5;45;1,3
Социальная организация №3;46;1,3
Социальная организация №5;47;1,3
Социальная организация №5;48;1,3
Социальная организация №6;49;1,25
Социальная организация №6;50;1,25
Социальная организация №2;51;1,25
Социальная организация №5;52;1,3
Социальная организация №1;53;1,2
Социальная организация №3;54;1,3
Социальная организация №4;55;1,3
Социальная организация №4;56;1,3
Социальная организация №2;57;1,25
Социальная организация №4;58;1,3
Социальная организация №1;59;1,2
Социальная организация №3;60;1,3
Социальная организация №6;61;1,25
Социальная организация №3;62;1,3
Социальная организация №4;63;1,3
Социальная организация №6;64;1,25
Социальная организация №3;65;1,3
Социальная организация №3;66;1,3
Социальная организация №6;67;1,25
Социальная организация №5;68;1,3
Социальная организация №2;69;1,25
Социальная организация №3;70;1,3
Социальная организация №3;71;1,3
Социальная организация №4;72;1,3
Социальная организация №2;73;1,25
Социальная организация №1;74;1,2
Социальная организация №3;75;1,3
Социальная организация №1;76;1,2
Социальная организация №1;77;1,2
Социальная организация №5;78;1,3
Социальная организация №2;79;1,25
Социальная организация №4;80;1,3
Социальная организация №6;81;1,25
Социальная организация №3;82;1,3
Социальная организация №3;83;1,3
Социальная организация №1;84;1,2
Социальная организация №1;85;1,2
Социальная организация №1;86;1,2
Социальная организация №2;87;1,25
Социальная организация №1;88;1,2
Социальная организация №3;89;1,3
Социальная организация №4;90;1,3
Социальная организация №3;91;1,3
Социальная организация №6;92;1,25
Социальная организация №4;93;1,3
Социальная организация №5;94;1,3
Социальная организация №6;95;1,25
Социальная организация №2;96;1,25
Социальная организация №2;97;1,25
Социальная организация №5;98;1,3
Социальная организация №2;99;1,25
Социальная организация №5;100;1,3
Социальная организация №2;101;1,25
Социальная организация №5;102;1,3
Социальная организация №2;103;1,25
Социальная организация №4;104;1,3
Социальная организация №3;105;1,3
Социальная организация №6;106;1,25
Социальная организация №4;107;1,3
Социальная организация №4;108;1,3
Социальная организация №4;109;1,3
Социальная организация №1;110;1,2
Социальная организация №1;111;1,2
Социальная организация №2;112;1,25
Социальная организация №3;113;1,3
Социальная организация №5;114;1,3
Социальная организация №5;115;1,3
Социальная организация №1;116;1,2
Социальная организация №4;117;1,3
Социальная организация №1;118;1,2
Социальная организация №2;119;1,25
Социальная организация №4;120;1,3
Социальная организация №1;121;1,2
Социальная организация №2;122;1,25
Социальная организация №5;123;1,3
Социальная организация №4;124;1,3
Социальная организация №2;125;1,25
Социальная организация №3;126;1,3
Социальная организация №6;127;1,25
Социальная организация №1;128;1,2
Социальная организация №3;129;1,3
Социальная организация №1;130;1,2
Социальная организация №6;131;1,25
Социальная организация №1;132;1,2
Социальная организация №3;133;1,3
Социальная организация №4;134;1,3
Социальная организация №1;135;1,2
Социальная организация №5;136;1,3
Социальная организация №3;137;1,3
Социальная организация №4;138;1,3
Социальная организация №5;139;1,3
Социальная организация №3;140;1,3
Социальная организация №6;141;1,25
Социальная организация №1;142;1,2
Социальная организация №3;143;1,3
Социальная организация №2;144;1,25
Социальная организация №4;145;1,3
Социальная организация №1;146;1,2
Социальная организация №5;147;1,3
Социальная организация №1;148;1,2
Социальная организация №6;149;1,25
Социальная организация №3;150;1,3
Социальная организация №5;151;1,3
Социальная организация №5;152;1,3
Социальная организация №4;153;1,3
Социальная организация №3;154;1,3
Социальная организация №3;155;1,3
Социальная организация №1;156;1,2
Социальная организация №2;157;1,25
Социальная организация №5;158;1,3
Социальная организация №2;159;1,25
Социальная организация №3;160;1,3
Социальная организация №4;161;1,3
Социальная организация №2;162;1,25
Социальная организация №1;163;1,2
Социальная организация №4;164;1,3
Социальная организация №2;165;1,25
Социальная организация №2;166;1,25
Социальная организация №5;167;1,3
Социальная организация №1;168;1,2
Социальная организация №5;169;1,3
Социальная организация №1;170;1,2
Социальная организация №2;171;1,25
Социальная организация №1;172;1,2
Социальная организация №6;173;1,25
Социальная организация №1;174;1,2
Социальная организация №2;175;1,25
Социальная организация №2;176;1,25
Социальная организация №3;177;1,3
Социальная организация №2;178;1,25
Социальная организация №1;179;1,2
Социальная организация №5;180;1,3
Социальная организация №3;181;1,3
Социальная организация №1;182;1,2
Социальная организация №6;183;1,25
Социальная организация №1;184;1,2
Социальная организация №6;185;1,25
Социальная организация №6;186;1,25
Социальная организация №2;187;1,25
Социальная организация №4;188;1,3
Социальная организация №5;189;1,3
Социальная организация №2;190;1,25
Социальная организация №6;191;1,25
Социальная организация №4;192;1,3
Социальное учреждение N6;193;1,25
Социальная организация №4;194;1,3
Социальная организация №5;195;1,3
Социальная организация №1;196;1,2
Социальная организация №3;197;1,3
Социальная организация №4;198;1,3
Социальная организация №2;199;1,25
Социальная организация №6;200;1,25
Социальная организация №3;201;1,3
Социальная организация №1;202;1,2
Социальная организация №4;203;1,3
Социальная организация №3;204;1,3
Социальная организация №6;205;1,25
Социальная организация №6;206;1,25
Социальная организация №2;207;1,25
Социальная организация №3;208;1,3
Социальная организация №6;209;1,25
Социальная организация №1;210;1,2
Социальная организация №5;211;1,3
Социальная организация №3;212;1,3
Социальная организация №5;213;1,3
Социальная организация №3;214;1,3
Социальная организация №3;215;1,3
Социальная организация №3;216;1,3
Социальная организация №4;217;1,3
Социальная организация №4;218;1,3
Социальная организация №3;219;1,3
Социальная организация №4;220;1,3
Социальная организация №3;221;1,3
