SERVICE_ID;SERVICENAME;SERVICETIME;CLIENT_ID
2;Социально-правовые;29.10.2022;1885
2;Социально-правовые;25.03.2022;1967
2;Социально-правовые;25.02.2022;1885
2;Социально-правовые;03.10.2022;1885
2;Социально-правовые;27.10.2022;1885
2;Социально-правовые;25.03.2022;1885
2;Социально-правовые;20.02.2022;1593
2;Социально-правовые;25.03.2022;1815
2;Социально-правовые;13.03.2022;571
2;Социально-правовые;27.10.2022;182
2;Социально-правовые;03.09.2022;1835
2;Социально-правовые;10.09.2022;266
2;Социально-правовые;11.03.2022;2278
2;Социально-правовые;06.10.2022;514
2;Социально-правовые;17.10.2022;1480
2;Социально-правовые;02.10.2022;1940
2;Социально-правовые;06.10.2022;2345
2;Социально-правовые;22.02.2022;2035
2;Социально-правовые;28.02.2022;1985
2;Социально-правовые;17.10.2022;568
2;Социально-правовые;12.09.2022;2147
2;Социально-правовые;09.10.2022;372
2;Социально-правовые;01.10.2022;855
2;Социально-правовые;27.10.2022;1934
2;Социально-правовые;26.10.2022;2345
2;Социально-правовые;26.03.2022;686
2;Социально-правовые;09.09.2022;1414
2;Социально-правовые;02.10.2022;2345
2;Социально-правовые;19.09.2022;744
2;Социально-правовые;09.10.2022;1424
2;Социально-правовые;22.10.2022;1372
2;Социально-правовые;24.09.2022;1275
2;Социально-правовые;16.04.2022;259
2;Социально-правовые;20.10.2022;508
2;Социально-правовые;29.10.2022;912
2;Социально-правовые;05.05.2022;2319
2;Социально-правовые;13.09.2022;891
2;Социально-правовые;01.10.2022;1195
2;Социально-правовые;17.09.2022;1226
2;Социально-правовые;10.10.2022;2150
2;Социально-правовые;19.02.2022;2291
2;Социально-правовые;28.02.2022;886
2;Социально-правовые;26.10.2022;806
2;Социально-правовые;21.02.2022;1320
2;Социально-правовые;06.04.2022;1268
2;Социально-правовые;28.10.2022;886
3;Социально-психологические;02.05.2022;1767
2;Социально-правовые;13.10.2022;1556
2;Социально-правовые;16.02.2022;398
2;Социально-правовые;10.10.2022;1460
2;Социально-правовые;22.10.2022;505
2;Социально-правовые;14.04.2022;2064
2;Социально-правовые;28.10.2022;1957
2;Социально-правовые;24.04.2022;2371
2;Социально-правовые;09.10.2022;1060
2;Социально-правовые;30.09.2022;515
2;Социально-правовые;03.09.2022;2288
2;Социально-правовые;08.09.2022;1521
2;Социально-правовые;03.10.2022;1360
2;Социально-правовые;07.09.2022;2063
2;Социально-правовые;20.03.2022;253
2;Социально-правовые;09.10.2022;2330
2;Социально-правовые;02.10.2022;283
2;Социально-правовые;14.10.2022;2011
2;Социально-правовые;15.05.2022;182
2;Социально-правовые;06.04.2022;182
2;Социально-правовые;05.10.2022;182
2;Социально-правовые;28.05.2022;182
2;Социально-правовые;15.10.2022;182
2;Социально-правовые;09.02.2022;182
2;Социально-правовые;15.04.2022;182
2;Социально-правовые;12.10.2022;182
2;Социально-правовые;09.10.2022;2366
2;Социально-правовые;16.02.2022;1391
2;Социально-правовые;29.03.2022;2070
2;Социально-правовые;11.04.2022;1607
2;Социально-правовые;30.04.2022;918
2;Социально-правовые;19.09.2022;213
2;Социально-правовые;15.09.2022;2028
2;Социально-правовые;06.09.2022;618
2;Социально-правовые;17.04.2022;541
2;Социально-правовые;25.09.2022;1614
2;Социально-правовые;24.10.2022;836
2;Социально-правовые;28.09.2022;381
2;Социально-правовые;04.10.2022;1429
2;Социально-правовые;17.04.2022;71
2;Социально-правовые;30.10.2022;1238
2;Социально-правовые;02.04.2022;1019
2;Социально-правовые;31.03.2022;1847
2;Социально-правовые;19.05.2022;1320
2;Социально-правовые;10.04.2022;2267
2;Социально-правовые;13.05.2022;493
2;Социально-правовые;11.09.2022;1473
2;Социально-правовые;01.10.2022;2104
2;Социально-правовые;14.10.2022;1523
2;Социально-правовые;12.09.2022;1538
2;Социально-правовые;15.04.2022;753
2;Социально-правовые;21.03.2022;449
2;Социально-правовые;04.09.2022;1259
2;Социально-правовые;23.10.2022;1513
2;Социально-правовые;02.10.2022;1065
2;Социально-правовые;13.10.2022;2240
2;Социально-правовые;12.03.2022;1067
2;Социально-правовые;21.04.2022;1896
2;Социально-правовые;15.09.2022;441
2;Социально-правовые;15.09.2022;2218
2;Социально-правовые;27.09.2022;2166
2;Социально-правовые;21.10.2022;2136
2;Социально-правовые;28.02.2022;552
2;Социально-правовые;17.03.2022;6
2;Социально-правовые;15.09.2022;45
2;Социально-правовые;10.10.2022;694
2;Социально-правовые;14.10.2022;594
2;Социально-правовые;25.09.2022;792
2;Социально-правовые;03.10.2022;747
2;Социально-правовые;11.04.2022;1481
2;Социально-правовые;05.10.2022;1071
2;Социально-правовые;09.04.2022;2107
2;Социально-правовые;25.03.2022;1219
2;Социально-правовые;26.03.2022;562
2;Социально-правовые;27.03.2022;327
2;Социально-правовые;28.03.2022;939
2;Социально-правовые;29.03.2022;614
2;Социально-правовые;30.03.2022;1240
2;Социально-правовые;31.03.2022;555
2;Социально-правовые;25.03.2022;959
2;Социально-правовые;26.03.2022;887
2;Социально-правовые;27.03.2022;21
2;Социально-правовые;28.03.2022;535
2;Социально-правовые;29.03.2022;6
2;Социально-правовые;30.03.2022;2034
2;Социально-правовые;31.03.2022;164
2;Социально-правовые;25.03.2022;2249
2;Социально-правовые;26.03.2022;1121
2;Социально-правовые;27.03.2022;2159
2;Социально-правовые;28.03.2022;313
2;Социально-правовые;29.03.2022;912
2;Социально-правовые;30.03.2022;1789
2;Социально-правовые;31.03.2022;2051
2;Социально-правовые;01.04.2022;1147
2;Социально-правовые;02.04.2022;152
2;Социально-правовые;03.04.2022;1770
2;Социально-правовые;04.04.2022;671
2;Социально-правовые;05.04.2022;2107
2;Социально-правовые;06.04.2022;749
2;Социально-правовые;07.04.2022;1372
2;Социально-правовые;08.04.2022;1127
2;Социально-правовые;09.04.2022;143
2;Социально-правовые;10.04.2022;2292
2;Социально-правовые;11.04.2022;347
2;Социально-правовые;12.04.2022;845
2;Социально-правовые;27.10.2022;22
2;Социально-правовые;16.03.2022;251
2;Социально-правовые;09.05.2022;445
2;Социально-правовые;17.10.2022;1603
2;Социально-правовые;21.03.2022;914
2;Социально-правовые;01.04.2022;1306
2;Социально-правовые;19.04.2022;274
2;Социально-правовые;13.09.2022;960
2;Социально-правовые;20.02.2022;981
2;Социально-правовые;13.04.2022;954
2;Социально-правовые;04.10.2022;1892
2;Социально-правовые;12.05.2022;1830
2;Социально-правовые;04.04.2022;1081
2;Социально-правовые;03.10.2022;64
2;Социально-правовые;30.05.2022;2041
2;Социально-правовые;03.09.2022;1612
2;Социально-правовые;19.10.2022;887
2;Социально-правовые;28.10.2022;1102
2;Социально-правовые;25.10.2022;1332
2;Социально-правовые;04.10.2022;1506
2;Социально-правовые;03.04.2022;60
2;Социально-правовые;14.10.2022;53
2;Социально-правовые;04.10.2022;1010
2;Социально-правовые;22.10.2022;931
2;Социально-правовые;16.05.2022;90
2;Социально-правовые;26.04.2022;549
2;Социально-правовые;21.10.2022;639
2;Социально-правовые;04.09.2022;1342
2;Социально-правовые;06.04.2022;591
2;Социально-правовые;18.09.2022;1120
2;Социально-правовые;13.09.2022;573
2;Социально-правовые;14.10.2022;819
2;Социально-правовые;12.10.2022;1388
2;Социально-правовые;19.02.2022;2209
2;Социально-правовые;20.10.2022;342
2;Социально-правовые;22.04.2022;1994
2;Социально-правовые;20.04.2022;396
2;Социально-правовые;03.03.2022;1034
2;Социально-правовые;20.10.2022;227
2;Социально-правовые;29.10.2022;1148
2;Социально-правовые;25.10.2022;1211
2;Социально-правовые;19.03.2022;252
2;Социально-правовые;04.03.2022;2261
2;Социально-правовые;08.10.2022;2264
2;Социально-правовые;06.10.2022;601
2;Социально-правовые;04.04.2022;607
2;Социально-правовые;30.09.2022;2091
2;Социально-правовые;07.02.2022;954
2;Социально-правовые;07.04.2022;1155
2;Социально-правовые;16.04.2022;185
2;Социально-правовые;24.04.2022;1596
2;Социально-правовые;12.04.2022;891
2;Социально-правовые;08.03.2022;2283
2;Социально-правовые;01.10.2022;588
2;Социально-правовые;18.09.2022;69
2;Социально-правовые;24.02.2022;487
2;Социально-правовые;24.10.2022;441
2;Социально-правовые;10.10.2022;2111
2;Социально-правовые;17.05.2022;1725
2;Социально-правовые;01.09.2022;986
2;Социально-правовые;26.10.2022;881
2;Социально-правовые;09.03.2022;708
2;Социально-правовые;22.02.2022;316
2;Социально-правовые;26.03.2022;24
2;Социально-правовые;25.10.2022;1664
2;Социально-правовые;12.04.2022;2293
2;Социально-правовые;11.10.2022;2005
2;Социально-правовые;24.09.2022;963
2;Социально-правовые;04.09.2022;234
2;Социально-правовые;22.04.2022;436
2;Социально-правовые;10.10.2022;2333
2;Социально-правовые;06.04.2022;863
2;Социально-правовые;09.10.2022;1551
2;Социально-правовые;11.10.2022;127
2;Социально-правовые;09.10.2022;2009
2;Социально-правовые;19.04.2022;16
2;Социально-правовые;24.10.2022;705
2;Социально-правовые;16.02.2022;145
2;Социально-правовые;15.09.2022;829
2;Социально-правовые;03.09.2022;1107
2;Социально-правовые;26.05.2022;1754
2;Социально-правовые;29.10.2022;1284
2;Социально-правовые;20.09.2022;1798
2;Социально-правовые;03.10.2022;2138
2;Социально-правовые;20.02.2022;1115
2;Социально-правовые;07.09.2022;672
2;Социально-правовые;17.05.2022;2209
2;Социально-правовые;10.05.2022;1347
2;Социально-правовые;10.04.2022;2280
2;Социально-правовые;20.10.2022;794
2;Социально-правовые;09.05.2022;891
2;Социально-правовые;10.05.2022;1687
2;Социально-правовые;23.10.2022;2049
2;Социально-правовые;10.10.2022;723
2;Социально-правовые;02.09.2022;425
2;Социально-правовые;02.10.2022;2169
2;Социально-правовые;02.02.2022;608
2;Социально-правовые;02.04.2022;1346
2;Социально-правовые;15.03.2022;1723
2;Социально-правовые;22.10.2022;1745
2;Социально-правовые;23.02.2022;756
2;Социально-правовые;21.11.2022;2014
2;Социально-правовые;09.03.2022;2180
2;Социально-правовые;15.02.2022;1091
